Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2004 QB),2004-08-06 00:04:00,0.01103,0.01102,18.09,18.08,19.8,290 m -  650 m,2.0,650.0
(2021 CN3),2004-08-08 06:41:00,0.02777,0.02203,2.68,2.65,26.2,15 m -   34 m,0.0,34.0
(2022 QX4),2004-08-21 00:04:00,0.01158,0.01158,8.86,8.84,24.7,31 m -   68 m,1.0,68.0
(2004 QJ13),2004-08-22 00:21:00,0.04063,0.0402,6.14,6.13,25.3,23 m -   52 m,0.0,52.0
(2004 RC11),2004-08-26 00:14:00,0.01141,0.01134,7.92,7.89,23.6,51 m -  110 m,1.0,110.0
(2008 EZ84),2004-09-09 21:06:00,0.02885,0.01169,8.35,8.34,26.2,15 m -   34 m,0.0,34.0
(2004 SA),2004-09-16 00:09:00,0.04033,0.03999,12.36,12.36,26.1,16 m -   36 m,0.0,36.0
(2004 ST26),2004-09-21 00:02:00,0.00246,0.00245,21.38,21.33,26.3,15 m -   33 m,1.0,33.0
(2004 SW26),2004-09-24 00:17:00,0.04249,0.04216,11.07,11.07,25.7,19 m -   43 m,0.0,43.0
(2016 TQ54),2004-10-02 03:09:00,0.00461,0.00034,8.86,8.79,27.2,9.7 m -   22 m,0.0,22.0
(2006 GU2),2004-10-05 11:06:00,0.02527,0.01712,8.05,8.04,27.8,7.3 m -   16 m,0.0,16.0
(2004 TJ10),2004-10-11 00:04:00,0.04439,0.04415,15.36,15.35,25.1,25 m -   57 m,0.0,57.0
(2004 RH357),2004-10-13 01:05:00,0.0159,0.01574,9.75,9.73,23.3,59 m -  130 m,1.0,130.0
(2005 TC51),2004-10-13 08:49:00,0.03475,0.02446,10.22,10.21,27.3,9.2 m -   21 m,0.0,21.0
(2004 VZ14),2004-10-31 00:01:00,0.01158,0.0115,14.94,14.92,25.3,23 m -   52 m,0.0,52.0
(2004 WH1),2004-11-16 00:13:00,0.02715,0.02689,4.82,4.8,24.0,42 m -   94 m,0.0,94.0
(2005 AZ28),2004-12-01 00:02:00,0.02881,0.02881,5.32,5.31,24.3,36 m -   81 m,0.0,81.0
(2015 XT378),2004-12-09 00:08:00,0.00622,0.00053,7.56,7.5,27.9,7.0 m -   16 m,0.0,16.0
(2004 YQ),2004-12-14 00:01:00,0.03899,0.03829,13.48,13.47,24.4,35 m -   78 m,0.0,78.0
(2004 XD51),2004-12-22 00:01:00,0.03075,0.03048,6.61,6.59,25.0,27 m -   59 m,0.0,59.0
(2006 MB14),2004-12-29 00:23:00,0.03518,0.03412,10.58,10.57,25.4,22 m -   49 m,0.0,49.0
(2020 RY2),2004-12-31 12:41:00,0.04826,0.0476,11.15,11.14,26.6,13 m -   28 m,0.0,28.0
(2005 BN1),2005-01-10 00:01:00,0.02398,0.02366,13.68,13.67,24.0,42 m -   94 m,0.0,94.0
(2005 BD),2005-01-13 00:02:00,0.03701,0.03683,7.6,7.59,25.1,25 m -   57 m,0.0,57.0
(2005 BS1),2005-01-13 00:10:00,0.00176,0.00175,12.51,12.38,27.5,8.4 m -   19 m,0.0,19.0
(2005 BM1),2005-01-14 00:06:00,0.03055,0.02924,9.23,9.22,25.4,22 m -   49 m,0.0,49.0
(2005 CQ7),2005-01-28 00:02:00,0.03007,0.0297,10.08,10.07,24.5,33 m -   75 m,0.0,75.0
(2005 CU38),2005-01-30 00:05:00,0.03775,0.03711,14.65,14.65,23.9,44 m -   99 m,0.0,99.0
(2005 CU61),2005-02-04 00:18:00,0.04375,0.04286,22.22,22.21,22.6,81 m -  180 m,0.0,180.0
(2011 CQ1),2005-02-10 14:13:00,0.02925,0.02711,4.33,4.31,32.1,1.0 m -  2.3 m,0.0,2.3
(2005 ES1),2005-02-24 00:05:00,0.01259,0.01239,5.55,5.52,26.8,12 m -   26 m,0.0,26.0
(2005 EL70),2005-03-03 00:03:00,0.03765,0.03636,35.36,35.36,24.0,42 m -   94 m,0.0,94.0
(2022 EW4),2005-03-06 02:02:00,0.02427,0.01824,9.38,9.37,26.4,14 m -   31 m,0.0,31.0
(2010 XR69),2005-03-07 00:56:00,0.0446,0.04026,14.0,13.99,25.4,22 m -   49 m,0.0,49.0
(2005 ED224),2005-03-09 00:04:00,0.02603,0.02308,24.29,24.29,24.0,42 m -   94 m,0.0,94.0
(2016 FY13),2005-03-17 13:04:00,0.04318,0.00965,11.47,11.46,24.2,38 m -   84 m,0.0,84.0
(2005 ES95),2005-03-20 00:10:00,0.03389,0.0328,11.21,11.2,25.8,18 m -   41 m,0.0,41.0
(2005 EZ169),2005-03-22 00:02:00,0.04957,0.04936,3.13,3.11,25.3,23 m -   52 m,0.0,52.0
(2005 GX119),2005-03-26 01:02:00,0.02377,0.023,5.87,5.85,25.7,19 m -   43 m,0.0,43.0
(2005 GQ33),2005-04-01 02:43:00,0.0319,0.03019,19.53,19.52,23.8,47 m -  110 m,0.0,110.0
(2005 GA120),2005-04-06 00:22:00,0.00474,0.00468,12.15,12.1,24.9,28 m -   62 m,1.0,62.0
(2005 HF),2005-04-07 00:03:00,0.01627,0.01621,8.53,8.51,23.4,56 m -  120 m,1.0,120.0
(2005 GT),2005-04-09 00:06:00,0.03995,0.03934,7.25,7.24,26.9,11 m -   25 m,0.0,25.0
(2005 GN22),2005-04-11 00:05:00,0.02056,0.02051,3.07,3.03,26.5,13 m -   30 m,0.0,30.0
(2021 TD1),2005-04-14 18:46:00,0.03397,0.02484,9.64,9.63,26.0,17 m -   37 m,0.0,37.0
(2005 JB22),2005-04-30 00:01:00,0.03139,0.03104,13.4,13.39,24.9,28 m -   62 m,0.0,62.0
(2005 JB46),2005-05-09 00:03:00,0.03403,0.03226,8.04,8.03,24.4,35 m -   78 m,0.0,78.0
(2005 JA45),2005-05-10 00:02:00,0.03151,0.03135,15.24,15.24,24.6,32 m -   71 m,0.0,71.0
(2005 LC),2005-05-27 00:03:00,0.02154,0.02145,2.48,2.43,26.8,12 m -   26 m,0.0,26.0
(2018 UC),2005-06-10 20:00:00,0.02184,0.00236,9.08,9.07,25.9,18 m -   39 m,0.0,39.0
(2014 MA18),2005-06-17 02:45:00,0.03283,0.01484,9.03,9.02,25.5,21 m -   47 m,0.0,47.0
(2020 LV),2005-06-22 00:45:00,0.01193,0.01128,4.78,4.73,25.3,23 m -   52 m,0.0,52.0
(2005 NB56),2005-07-02 00:01:00,0.04477,0.04439,10.67,10.66,22.9,70 m -  160 m,0.0,160.0
(2005 ME5),2005-07-05 00:02:00,0.03929,0.039,6.74,6.73,25.5,21 m -   47 m,0.0,47.0
(2022 YG),2005-07-16 01:32:00,0.04677,0.04142,4.67,4.66,26.6,13 m -   28 m,0.0,28.0
(2009 PC),2005-07-20 15:56:00,0.03991,0.03827,11.09,11.09,23.2,61 m -  140 m,0.0,140.0
(2000 AG6),2005-07-22 02:45:00,0.02267,0.02092,6.46,6.45,25.3,23 m -   52 m,0.0,52.0
(2022 PC),2005-08-03 14:03:00,0.01441,0.01243,4.6,4.56,23.7,47 m -  110 m,1.0,110.0
(2005 QB5),2005-08-19 00:01:00,0.0269,0.0269,9.93,9.92,23.7,48 m -  110 m,0.0,110.0
(2005 QK76),2005-08-27 00:01:00,0.03236,0.03193,19.16,19.15,25.1,25 m -   57 m,0.0,57.0
(2005 RW3),2005-08-29 00:01:00,0.04832,0.04809,16.38,16.38,22.8,73 m -  160 m,0.0,160.0
(2008 EY84),2005-09-04 05:54:00,0.02472,0.02177,5.79,5.77,26.8,12 m -   26 m,0.0,26.0
(2005 RJ),2005-09-08 00:01:00,0.04775,0.04714,13.69,13.69,22.3,92 m -  210 m,0.0,210.0
(2020 KR2),2005-09-12 08:59:00,0.03994,0.02913,3.68,3.66,26.6,13 m -   28 m,0.0,28.0
(2022 SK2),2005-09-12 18:08:00,0.01598,0.002,23.42,23.41,26.5,13 m -   30 m,0.0,30.0
(2005 SP1),2005-09-15 00:02:00,0.01454,0.01449,16.9,16.89,23.3,58 m -  130 m,1.0,130.0
(2020 RF3),2005-09-15 17:17:00,0.0321,0.00093,15.97,15.97,28.5,5.3 m -   12 m,0.0,12.0
(2005 SS1),2005-09-17 00:01:00,0.01694,0.01684,9.7,9.68,26.1,16 m -   36 m,0.0,36.0
(2018 TR),2005-09-29 03:35:00,0.04325,0.04026,7.76,7.75,25.5,21 m -   47 m,0.0,47.0
(2005 TH45),2005-10-01 00:01:00,0.00826,0.00818,15.41,15.39,26.3,15 m -   33 m,0.0,33.0
(2005 US6),2005-10-05 02:44:00,0.03125,0.03,8.66,8.65,24.8,29 m -   65 m,0.0,65.0
(2008 GM2),2005-10-09 05:06:00,0.03873,0.03597,3.55,3.53,28.3,5.8 m -   13 m,0.0,13.0
(2005 TK50),2005-10-10 00:45:00,0.00089,0.0006,17.95,17.79,29.1,4.0 m -  9.0 m,0.0,9.0
(2016 CH30),2005-10-11 00:10:00,0.0269,0.02546,6.28,6.26,28.0,6.7 m -   15 m,0.0,15.0
(2005 UC3),2005-10-14 00:03:00,0.0336,0.03281,8.99,8.99,27.1,10 m -   23 m,0.0,23.0
(2005 TC51),2005-10-14 00:05:00,0.00377,0.00373,9.25,9.18,27.3,9.2 m -   21 m,0.0,21.0
(2005 TM173),2005-10-16 15:18:00,0.01613,0.00944,10.88,10.86,24.1,41 m -   92 m,1.0,92.0
(2005 UL6),2005-10-17 00:02:00,0.03159,0.03144,10.28,10.27,24.5,33 m -   75 m,0.0,75.0
(2005 UA6),2005-10-21 00:01:00,0.02212,0.02206,12.58,12.57,23.3,58 m -  130 m,1.0,130.0
(2015 GY),2005-10-22 00:07:00,0.04966,0.04961,7.98,7.98,21.7,0.143±0.051 km,1.0,
(2005 VD7),2005-10-22 00:27:00,0.02339,0.02335,7.86,7.85,22.4,88 m -  200 m,1.0,200.0
(2005 UH5),2005-10-28 00:01:00,0.04018,0.04004,11.76,11.75,25.4,22 m -   49 m,0.0,49.0
(2005 VN1),2005-10-31 00:59:00,0.0133,0.01277,9.84,9.82,25.1,25 m -   57 m,0.0,57.0
(2008 JQ),2005-11-01 04:53:00,0.02599,0.02079,8.01,8.0,25.6,20 m -   45 m,0.0,45.0
(2005 UF7),2005-11-03 00:01:00,0.03661,0.03606,7.08,7.07,26.5,13 m -   30 m,0.0,30.0
(2018 VZ5),2005-11-03 00:38:00,0.03273,0.02736,15.66,15.65,24.8,29 m -   65 m,0.0,65.0
(2020 UM2),2005-11-16 12:52:00,0.04661,0.03106,4.52,4.51,27.1,10 m -   23 m,0.0,23.0
(2005 WQ3),2005-11-18 00:04:00,0.02392,0.02354,19.1,19.09,24.3,37 m -   82 m,0.0,82.0
(2005 VF),2005-11-19 00:08:00,0.04724,0.04593,6.78,6.77,24.7,31 m -   68 m,0.0,68.0
(2005 WP3),2005-11-21 00:01:00,0.03557,0.0353,7.2,7.18,24.9,28 m -   62 m,0.0,62.0
(2005 WG57),2005-11-21 00:01:00,0.03569,0.0356,10.94,10.93,23.6,51 m -  110 m,0.0,110.0
(2005 WC),2005-11-21 00:01:00,0.01389,0.01378,13.53,13.52,25.2,24 m -   54 m,0.0,54.0
(2005 XK4),2005-11-24 00:37:00,0.02788,0.02659,19.32,19.31,24.5,33 m -   75 m,0.0,75.0
(2005 XX77),2005-11-25 00:04:00,0.03401,0.03389,5.66,5.64,23.9,44 m -   99 m,0.0,99.0
(2022 YM1),2005-11-25 14:21:00,0.02879,0.0261,3.56,3.53,29.2,3.8 m -  8.6 m,0.0,8.6
(2005 XN27),2005-12-02 00:05:00,0.01012,0.01003,12.98,12.96,24.5,33 m -   75 m,1.0,75.0
(2005 XX4),2005-12-03 00:05:00,0.01854,0.01818,14.9,14.89,24.3,37 m -   82 m,0.0,82.0
(2005 YY1),2005-12-05 00:14:00,0.03259,0.03242,8.37,8.36,23.1,64 m -  140 m,1.0,140.0
(2005 YK),2005-12-16 00:04:00,0.00882,0.00878,9.87,9.84,26.9,11 m -   25 m,0.0,25.0
(2018 XC4),2005-12-16 02:17:00,0.04721,0.04614,9.04,9.03,26.3,15 m -   33 m,0.0,33.0
(2006 AC3),2005-12-22 00:06:00,0.04421,0.04371,8.3,8.29,24.2,38 m -   86 m,0.0,86.0
(2019 AK8),2005-12-24 00:08:00,0.03518,0.03511,12.12,12.12,24.3,37 m -   82 m,0.0,82.0
(2005 YU128),2005-12-30 00:01:00,0.02813,0.02792,7.18,7.17,25.3,23 m -   52 m,0.0,52.0
(2006 AB3),2006-01-04 00:02:00,0.0346,0.03435,7.1,7.09,26.8,12 m -   26 m,0.0,26.0
(2006 BP147),2006-01-07 00:32:00,0.04819,0.04692,4.83,4.81,26.5,13 m -   30 m,0.0,30.0
(2006 BG99),2006-01-08 00:06:00,0.04615,0.04574,4.1,4.09,25.7,19 m -   43 m,0.0,43.0
(2006 BX7),2006-01-09 00:04:00,0.03584,0.03555,8.26,8.26,24.6,32 m -   71 m,0.0,71.0
(2006 BN26),2006-01-10 00:03:00,0.04311,0.04284,8.02,8.02,23.5,53 m -  120 m,0.0,120.0
(2006 BF),2006-01-11 00:03:00,0.01661,0.01652,9.05,9.04,23.6,51 m -  110 m,1.0,110.0
(2006 BB8),2006-01-12 00:02:00,0.02809,0.02792,8.88,8.87,24.5,33 m -   75 m,0.0,75.0
(2006 BY7),2006-01-12 00:02:00,0.04265,0.04234,5.67,5.66,25.9,18 m -   39 m,0.0,39.0
(2006 BQ7),2006-01-13 00:01:00,0.02811,0.02784,4.34,4.31,26.5,13 m -   30 m,0.0,30.0
(2006 AH4),2006-01-15 00:08:00,0.04632,0.04557,6.23,6.22,26.3,15 m -   33 m,0.0,33.0
(2006 BW7),2006-01-15 00:08:00,0.0055,0.00543,9.41,9.36,26.5,13 m -   30 m,0.0,30.0
(2006 BB9),2006-01-19 00:02:00,0.01086,0.01076,13.65,13.64,25.8,18 m -   41 m,0.0,41.0
(2006 BM8),2006-01-20 00:01:00,0.00578,0.00576,14.96,14.93,25.3,23 m -   52 m,1.0,52.0
(2011 CL50),2006-01-26 00:05:00,0.02902,0.02901,2.94,2.9,27.3,9.2 m -   21 m,0.0,21.0
(2006 CL),2006-01-27 00:01:00,0.02044,0.02029,7.6,7.58,25.4,22 m -   49 m,0.0,49.0
(2006 CK),2006-02-08 00:32:00,0.03004,0.02984,6.22,6.21,25.8,18 m -   41 m,0.0,41.0
(2006 BJ55),2006-02-15 00:01:00,0.04819,0.04793,5.78,5.77,24.2,38 m -   86 m,0.0,86.0
(2020 CF2),2006-02-22 15:46:00,0.04877,0.04411,4.75,4.74,27.6,8.0 m -   18 m,0.0,18.0
(2006 DM63),2006-02-24 00:46:00,0.00153,0.00152,10.5,10.34,26.7,12 m -   27 m,1.0,27.0
(2006 DO62),2006-02-25 00:12:00,0.00532,0.00323,9.44,9.38,28.5,5.2 m -   12 m,0.0,12.0
(2006 EH1),2006-03-07 00:03:00,0.00503,0.00497,12.59,12.55,26.5,13 m -   30 m,0.0,30.0
(2019 FD),2006-03-14 00:04:00,0.01845,0.01845,8.04,8.02,23.3,58 m -  130 m,1.0,130.0
(2021 EX),2006-03-17 00:05:00,0.02168,0.01043,5.68,5.65,26.0,17 m -   37 m,0.0,37.0
(2019 GX3),2006-03-28 21:57:00,0.0129,0.01051,4.84,4.8,27.7,7.8 m -   17 m,0.0,17.0
(2021 FW2),2006-03-31 05:51:00,0.00797,0.00041,7.45,7.41,25.3,23 m -   52 m,1.0,52.0
(2006 GU2),2006-04-01 00:11:00,0.00672,0.00667,7.45,7.39,27.8,7.3 m -   16 m,0.0,16.0
(2006 HZ5),2006-04-02 00:02:00,0.01904,0.01903,4.35,4.31,24.5,33 m -   75 m,0.0,75.0
(2009 HE60),2006-04-05 09:36:00,0.0333,0.01496,6.63,6.62,25.6,20 m -   45 m,0.0,45.0
(2016 UE57),2006-04-14 20:57:00,0.04554,0.03673,8.73,8.72,26.4,14 m -   31 m,0.0,31.0
(2006 QQ56),2006-04-18 00:36:00,0.0495,0.04942,1.66,1.63,25.9,18 m -   39 m,0.0,39.0
(2015 MT200),2006-04-20 13:43:00,0.0396,0.03532,13.0,12.99,22.9,71 m -  160 m,0.0,160.0
(2014 HM4),2006-04-23 00:48:00,0.04749,0.04665,18.45,18.45,26.9,11 m -   25 m,0.0,25.0
(2006 HH56),2006-05-02 00:02:00,0.03172,0.03154,15.13,15.12,24.0,42 m -   94 m,0.0,94.0
(2006 JO),2006-05-06 00:06:00,0.01226,0.01217,17.17,17.16,25.1,25 m -   57 m,0.0,57.0
(2007 JB21),2006-05-09 00:59:00,0.0205,0.01907,7.65,7.63,25.4,22 m -   49 m,0.0,49.0
(2018 JK2),2006-05-09 04:33:00,0.0375,0.0165,5.62,5.61,25.8,18 m -   41 m,0.0,41.0
(2006 KC),2006-05-10 00:01:00,0.04192,0.0419,15.03,15.02,22.2,97 m -  220 m,1.0,220.0
(2020 KJ4),2006-05-28 17:48:00,0.00544,0.00043,4.55,4.45,29.9,2.8 m -  6.2 m,0.0,6.2
(2006 KL103),2006-06-01 00:17:00,0.03864,0.03808,4.28,4.26,25.5,21 m -   47 m,0.0,47.0
(2004 VM24),2006-06-02 05:36:00,0.04625,0.04191,14.14,14.14,25.7,19 m -   43 m,0.0,43.0
(2003 YN107),2006-06-10 00:01:00,0.0223,0.0223,2.42,2.37,26.5,13 m -   30 m,0.0,30.0
(2022 VR1),2006-06-10 20:11:00,0.03402,0.02674,6.14,6.13,24.8,29 m -   65 m,0.0,65.0
(2006 LH),2006-06-16 00:01:00,0.02739,0.02705,10.37,10.36,24.8,29 m -   65 m,0.0,65.0
(2009 PC),2006-07-20 07:27:00,0.03943,0.03794,10.47,10.47,23.2,61 m -  140 m,0.0,140.0
(2019 CS1),2006-07-21 03:20:00,0.02367,0.02264,9.03,9.02,22.1,100 m -  230 m,1.0,230.0
(2006 SR134),2006-08-05 00:15:00,0.02824,0.0282,6.55,6.53,23.1,64 m -  140 m,1.0,140.0
(2006 QZ57),2006-08-14 00:15:00,0.04373,0.04269,22.01,22.01,22.7,77 m -  170 m,0.0,170.0
(2006 QN111),2006-08-21 00:03:00,0.01828,0.01797,11.02,11.01,23.8,46 m -  100 m,1.0,100.0
(2019 AU6),2006-08-23 09:12:00,0.00594,0.00252,8.92,8.87,26.6,13 m -   28 m,0.0,28.0
(2006 UB17),2006-09-01 00:20:00,0.03614,0.03587,1.66,1.61,26.3,15 m -   33 m,0.0,33.0
(2006 RH2),2006-09-16 00:02:00,0.01198,0.01196,6.35,6.31,27.2,9.7 m -   22 m,0.0,22.0
(2006 SS131),2006-09-19 00:04:00,0.01272,0.01265,6.29,6.26,25.7,19 m -   43 m,0.0,43.0
(2006 SK61),2006-09-21 00:01:00,0.01474,0.01471,3.58,3.53,26.1,16 m -   36 m,0.0,36.0
(2006 SO77),2006-09-22 00:13:00,0.0041,0.00407,7.99,7.91,26.5,13 m -   30 m,0.0,30.0
(2017 SD20),2006-09-24 00:17:00,0.01404,0.0135,13.24,13.22,26.1,16 m -   36 m,0.0,36.0
(2006 TR7),2006-10-04 00:02:00,0.00765,0.0076,10.62,10.58,25.1,25 m -   57 m,1.0,57.0
(2017 SO21),2006-10-04 19:09:00,0.04036,0.03516,5.74,5.73,25.3,23 m -   52 m,0.0,52.0
(2018 GD2),2006-10-08 07:53:00,0.03087,0.03009,7.39,7.38,29.5,3.3 m -  7.5 m,0.0,7.5
(2019 TM3),2006-10-08 15:41:00,0.00643,0.00254,9.81,9.76,27.6,8.0 m -   18 m,0.0,18.0
(2006 UL),2006-10-13 00:03:00,0.03285,0.0327,5.45,5.43,26.1,16 m -   36 m,0.0,36.0
(2015 TG24),2006-10-13 23:31:00,0.01636,0.00375,10.35,10.34,26.7,12 m -   27 m,0.0,27.0
(2006 UU17),2006-10-16 00:01:00,0.00591,0.00587,9.4,9.35,26.6,13 m -   28 m,0.0,28.0
(2012 VM6),2006-10-21 00:02:00,0.04922,0.04922,6.21,6.2,25.3,23 m -   52 m,0.0,52.0
(2006 UE64),2006-10-21 00:04:00,0.00114,0.00113,11.81,11.61,28.0,6.7 m -   15 m,1.0,15.0
(2006 VB),2006-10-22 00:06:00,0.03952,0.03915,8.6,8.59,25.1,25 m -   57 m,0.0,57.0
(2006 UP217),2006-10-22 03:45:00,0.01659,0.01619,15.13,15.12,24.9,28 m -   62 m,0.0,62.0
(2006 UJ185),2006-10-30 00:02:00,0.00179,0.00178,15.59,15.5,27.9,7.0 m -   16 m,0.0,16.0
(2006 WZ29),2006-11-03 01:10:00,0.03535,0.03439,10.43,10.42,24.8,29 m -   65 m,0.0,65.0
(2006 UQ216),2006-11-07 00:02:00,0.01428,0.01422,4.23,4.19,27.3,9.2 m -   21 m,0.0,21.0
(2006 WP3),2006-11-12 00:01:00,0.02342,0.02338,8.85,8.83,23.4,56 m -  120 m,1.0,120.0
(2010 VQ),2006-11-13 00:03:00,0.04397,0.04397,3.86,3.85,27.7,7.6 m -   17 m,0.0,17.0
(2017 XS2),2006-11-13 09:57:00,0.03668,0.03436,4.11,4.09,26.0,17 m -   38 m,0.0,38.0
(2006 WP1),2006-11-16 00:05:00,0.00208,0.00207,18.02,17.95,28.2,6.1 m -   14 m,0.0,14.0
(2006 WB3),2006-11-16 00:06:00,0.04784,0.04679,11.08,11.08,24.4,35 m -   78 m,0.0,78.0
(2021 VS5),2006-11-17 00:07:00,0.03305,0.03184,9.31,9.3,26.4,14 m -   32 m,0.0,32.0
(2006 WD129),2006-11-17 00:09:00,0.03835,0.03742,10.82,10.81,26.3,15 m -   33 m,0.0,33.0
(2006 WX29),2006-11-20 00:13:00,0.00221,0.00218,21.15,21.09,27.8,7.3 m -   16 m,0.0,16.0
(2006 WV1),2006-11-25 00:14:00,0.03147,0.0313,6.64,6.62,25.9,18 m -   39 m,0.0,39.0
(2006 WQ127),2006-12-02 00:13:00,0.02013,0.01991,17.94,17.94,23.3,58 m -  130 m,1.0,130.0
(2006 XA3),2006-12-05 00:02:00,0.02224,0.02205,12.02,12.01,25.2,24 m -   54 m,0.0,54.0
(2007 WU3),2006-12-06 00:02:00,0.04746,0.04746,6.73,6.73,23.8,46 m -  100 m,0.0,100.0
(2006 XH2),2006-12-06 00:03:00,0.0204,0.02008,22.07,22.06,24.4,35 m -   78 m,0.0,78.0
(2006 YE),2006-12-16 00:03:00,0.01306,0.01301,6.47,6.44,27.3,9.2 m -   21 m,0.0,21.0
(2020 AB),2007-01-04 02:15:00,0.03227,0.03193,7.0,6.99,26.0,17 m -   38 m,0.0,38.0
(2022 AE2),2007-01-07 01:40:00,0.00678,0.00609,8.54,8.5,25.9,18 m -   40 m,0.0,40.0
(2007 BB),2007-01-19 00:02:00,0.00259,0.00255,4.7,4.48,27.8,7.3 m -   16 m,0.0,16.0
(2007 BU7),2007-01-19 00:04:00,0.0109,0.01069,14.47,14.45,24.1,40 m -   90 m,1.0,90.0
(2021 EJ3),2007-01-20 16:50:00,0.02034,0.01806,2.7,2.65,27.7,7.6 m -   17 m,0.0,17.0
(2007 BY48),2007-01-21 00:02:00,0.02943,0.02905,14.41,14.4,22.6,80 m -  180 m,1.0,180.0
(2012 BX34),2007-01-28 00:04:00,0.0252,0.02512,9.95,9.94,27.6,8.0 m -   18 m,0.0,18.0
(2007 CU18),2007-01-31 00:07:00,0.02518,0.02483,10.68,10.67,24.4,35 m -   78 m,0.0,78.0
(2016 TQ54),2007-02-06 02:57:00,0.03767,0.03593,9.94,9.94,27.2,9.7 m -   22 m,0.0,22.0
(2007 CX50),2007-02-07 00:02:00,0.01603,0.01597,6.37,6.34,24.7,31 m -   68 m,0.0,68.0
(2007 DC),2007-02-08 00:09:00,0.0042,0.00415,6.86,6.77,27.5,8.4 m -   19 m,0.0,19.0
(2007 DQ40),2007-02-12 00:02:00,0.0248,0.02467,15.6,15.59,23.3,58 m -  130 m,1.0,130.0
(2007 CC19),2007-02-12 00:31:00,0.00469,0.00452,18.89,18.86,27.0,11 m -   24 m,0.0,24.0
(2007 DM8),2007-02-15 00:03:00,0.02613,0.02565,10.97,10.96,26.2,15 m -   34 m,0.0,34.0
(2007 DS7),2007-02-18 00:02:00,0.00458,0.00454,12.6,12.55,25.8,18 m -   41 m,1.0,41.0
(2007 EE26),2007-02-18 01:30:00,0.02075,0.02047,5.27,5.25,26.1,16 m -   36 m,0.0,36.0
(2022 WA10),2007-02-24 05:14:00,0.04871,0.03183,13.4,13.4,26.4,14 m -   30 m,0.0,30.0
(2017 DS37),2007-03-01 10:58:00,0.01999,0.01931,5.63,5.6,27.3,9.2 m -   21 m,0.0,21.0
(2007 EU),2007-03-03 00:01:00,0.03342,0.03297,8.59,8.58,24.6,32 m -   71 m,0.0,71.0
(2007 EZ25),2007-03-04 00:03:00,0.01009,0.00988,21.04,21.03,25.5,21 m -   47 m,0.0,47.0
(2007 EK26),2007-03-10 00:01:00,0.00457,0.00455,18.6,18.57,25.0,27 m -   59 m,1.0,59.0
(2007 EE126),2007-03-10 01:54:00,0.01289,0.01253,30.61,30.6,25.6,20 m -   45 m,0.0,45.0
(2012 AP10),2007-03-12 00:08:00,0.04374,0.0437,4.59,4.58,26.5,13 m -   30 m,0.0,30.0
(2017 FN127),2007-03-12 09:39:00,0.04611,0.02681,10.17,10.16,25.6,20 m -   45 m,0.0,45.0
(2007 EN88),2007-03-13 00:03:00,0.00602,0.00598,12.22,12.18,26.6,13 m -   28 m,0.0,28.0
(2007 FS3),2007-03-15 00:50:00,0.00594,0.00586,8.24,8.19,26.1,16 m -   36 m,0.0,36.0
(2007 FP3),2007-03-15 00:56:00,0.00874,0.00855,9.92,9.89,28.4,5.6 m -   12 m,0.0,12.0
(2007 FR3),2007-03-25 02:32:00,0.00846,0.00838,10.41,10.38,27.5,8.4 m -   19 m,0.0,19.0
(1994 GL),2007-03-30 00:02:00,0.0243,0.0243,9.29,9.28,25.5,21 m -   47 m,0.0,47.0
(2007 GY1),2007-04-03 00:02:00,0.03061,0.03041,15.08,15.08,22.6,80 m -  180 m,1.0,180.0
(2009 HE60),2007-04-05 09:42:00,0.02444,0.0149,6.92,6.91,25.6,20 m -   45 m,0.0,45.0
(2007 GX5),2007-04-09 00:02:00,0.02146,0.0212,15.62,15.61,24.3,37 m -   82 m,0.0,82.0
(2011 GK44),2007-04-12 13:46:00,0.04015,0.03292,8.84,8.83,25.6,20 m -   45 m,0.0,45.0
(2007 HD15),2007-04-13 00:02:00,0.01212,0.0121,9.84,9.82,24.0,42 m -   94 m,1.0,94.0
(2007 HP),2007-04-13 00:02:00,0.0138,0.01366,23.36,23.36,22.9,70 m -  160 m,1.0,160.0
(2018 CH),2007-04-20 19:08:00,0.03027,0.0283,10.95,10.95,26.4,14 m -   31 m,0.0,31.0
(2019 VR),2007-05-04 12:26:00,0.01328,0.01086,9.46,9.44,28.1,6.4 m -   14 m,0.0,14.0
(2007 JB21),2007-05-09 00:01:00,0.00416,0.00413,7.42,7.33,25.4,22 m -   49 m,1.0,49.0
(2007 KV2),2007-05-13 00:02:00,0.01683,0.01671,11.41,11.4,24.6,32 m -   71 m,0.0,71.0
(2021 VT6),2007-05-23 09:22:00,0.03047,0.02644,6.24,6.22,24.3,37 m -   82 m,0.0,82.0
(2007 KF7),2007-05-26 00:07:00,0.04241,0.04218,8.16,8.15,24.9,28 m -   62 m,0.0,62.0
(2022 VR1),2007-06-08 17:29:00,0.02801,0.02579,5.28,5.27,24.8,29 m -   65 m,0.0,65.0
(2019 GA),2007-06-28 00:05:00,0.02478,0.02464,15.83,15.82,23.6,51 m -  110 m,1.0,110.0
(2020 NB),2007-07-07 20:53:00,0.01701,0.00497,8.14,8.12,26.2,15 m -   35 m,0.0,35.0
